Book Id,Title,Author,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Date Read,Date Added,My Review
216848047,AI Engineering: Building Applications with Foundation Models,Chip Huyen,,1098166302,9781098166304,5,O'Reilly Media,2026/02/01,2026/02/01,"Review: The Definitive Blueprint for the AI Engineering Era<br/><br/>AI Engineering: Building Applications with Foundation Models by Chip Huyen is an excellent, comprehensive guide that manages to strike the perfect balance between breadth and depth. Having spent my time recently building AI-powered search and leveraging state-of-the-art embeddings and frontier Gemini models for AI safety, this book struck a deep chord with me.<br/><br/>From Execution to Articulation<br/>There is a significant difference between ""doing the work"" and having a powerful articulation of the entire AI engineering landscape. While I work in this space daily, Huyen’s framework provided me with a much-needed deepened understanding of how all the pieces—from data to safety—interconnect. It transitions the reader from just ""building"" to architecting with intent.<br/><br/>The ""Overlooked"" Essentials: Evaluation & Metrics<br/>One of the most valuable sections of the book is its deep dive into evaluation, an area that is frequently overlooked in the rush to deploy. The chapters on dataset preparation and the use of AI judges are particularly insightful. More importantly, the book offers a clear roadmap for translating technical AI metrics into meaningful business outcomes—a skill that is critical for any engineering leader.<br/><br/>Peeking Under the Hood<br/>What sets this book apart is that it doesn't just treat models as ""black boxes."" By providing an in-depth look at what actually happens when models are fine-tuned, it gives you the ""peek one level below"" that is essential for building superior applications ""one level above."" This technical grounding is what allows an engineer to move from a working prototype to a highly optimized production system.<br/><br/>Final Verdict<br/>Whether you are already building on top of foundation models or are just beginning to explore the world of AI engineering, this book is an indispensable resource. It is rare to find a text that is as useful for a seasoned practitioner as it is for a newcomer.<br/><br/>I know I will be returning to these pages again and again throughout the year as a primary reference. Highly recommended."
18685594,"Gravitas: Communicate with Confidence, Influence and Authority",Caroline Goyder,,147350144X,9781473501447,5,Ebury Digital,2026/04/04,2026/04/04,"<b>Demystifying the Art of Presence: A Review of Caroline Goyder's ""Gravitas""</b><br/><br/>After reading [a: Sylvia Ann Hewlett|10718|Sylvia Ann Hewlett|https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png]'s <i>[b: Executive Presence|18498555|Executive Presence  The Missing Link Between Merit and Success|Sylvia Ann Hewlett|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397422439l/18498555._SY75_.jpg|26186620]</i>, I was left with a strong desire to pull the thread further and understand the mechanics of how we project authority. That curiosity led me to [a: Caroline Goyder|3140990|Caroline Goyder|https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png]'s <i>[b: Gravitas: Communicate with Confidence, Influence and Authority|18685594|Gravitas  Communicate with Confidence, Influence and Authority|Caroline Goyder|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408935677l/18685594._SX50_.jpg|26527196]</i>. If Hewlett defines the ""what"" of gravitas, Goyder provides a highly practical framework for the ""how.""<br/><br/>What resonated most deeply with me in Goyder’s work is her elegant summation of the concept. She distills it down to a simple, actionable equation:<br/><b>Gravitas = Knowledge + Purpose + Passion – Anxiety</b><br/>This formula profoundly shifted my perspective, particularly the absolute necessity of the ""Knowledge"" cornerstone. Without deep, grounded knowledge, attempting to demonstrate gravitas easily tips into hollow posturing.<br/><br/>As an Engineering Manager, this triggered a lot of personal reflection. In tech leadership, there is a constant, delicate balancing act regarding knowledge. How deep do you dive into the weeds to genuinely wield the power of that knowledge, versus how much do you step back and leverage your Tech Leads? It immediately brought to mind [a: Will Larson|6872433|Will Larson|https://images.gr-assets.com/authors/1564261627p2/6872433.jpg]’s <i>[b: Staff Engineer|56481725|Staff Engineer  Leadership Beyond the Management Track|Will Larson|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1609348975l/56481725._SY75_.jpg|88125716]</i>, specifically his discussion of the ""Hand of the King"" archetype and the absolute necessity of getting a grounded, undeniable understanding of your specific domain. You cannot fake the ""Knowledge"" variable in Goyder's equation when leading engineers.<br/><br/>While Goyder's formula identifies ""Anxiety"" as the great subtractor of gravitas, I felt the book only scratched the surface of where that anxiety truly stems from in a corporate environment. To fill that gap, I found myself connecting Goyder's framework to [a: Jeffrey Pfeffer|80885|Jeffrey Pfeffer|https://images.gr-assets.com/authors/1416182082p2/80885.jpg]’s book <i>[b: Power|12609433|The Power of Habit  Why We Do What We Do in Life and Business|Charles Duhigg|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545854312l/12609433._SY75_.jpg|17624817]</i>. In my experience, the anxiety that strips away gravitas isn't just stage fright; it is heavily tied to our ability—or inability—to tolerate conflict. True gravitas requires the stomach to stand firm in the face of disagreement.<br/><br/>Goyder’s background is in voice coaching, and there are significant portions of the book dedicated to the mechanics of breathing, tone, and vocal delivery. While these practical exercises are certainly useful, for me, the true value of the book lies in her broader articulation of what gravitas actually is.<br/><br/>Ultimately, this book reinforces a comforting truth: while gravitas may come effortlessly to a lucky few, for the rest of us, it is a learned behavior. And yes, it is a <i>hard</i> learning process. But the biggest takeaway is that the tools are available. When combined with the insights of Hewlett, Larson, and Pfeffer, Goyder’s <i>[b: Gravitas|18685594|Gravitas  Communicate with Confidence, Influence and Authority|Caroline Goyder|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408935677l/18685594._SX50_.jpg|26527196]</i> provides an excellent, structured framework for anyone willing to put in the work to acquire these essential leadership skills."
18498555,Executive Presence: The Missing Link Between Merit and Success,Sylvia Ann Hewlett,,0062246895,9780062246899,5,Harper Business,2026/03/29,2026/03/29,"<p><b>Rating:</b> Highly Recommended</p><p><b>An Eye-Opening and Actionable Framework</b><br>[b: Executive Presence: The Missing Link Between Merit and Success|18498555|Executive Presence  The Missing Link Between Merit and Success|Sylvia Ann Hewlett|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397422439l/18498555._SY75_.jpg|26186620] by [a: Sylvia Ann Hewlett|10718|Sylvia Ann Hewlett|https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png] is a genuinely eye-opening read that provides a practical framework anyone can utilize to advance their career. While executive presence (EP) seems to come effortlessly to some, this book reinforces the encouraging reality that it is entirely learnable for the rest of us. It demystifies the often-vague concept of ""leadership material"" into tangible, actionable behaviors.</p><p><b>The Core Challenge: Mastering Gravitas</b><br>For me, the most impactful takeaway was the deep dive into <b>Gravitas</b>—specifically, the necessity of being assertive and having the ability to ""show teeth"" when a situation demands it. When directing a team, my default approach has always heavily favored a collaborative, consensus-building style. While collaboration is essential for solving complex problems, this book highlighted exactly why I have historically struggled on the gravitas front. I realized that a purely collaborative style can sometimes inadvertently soften the decisive authority required.</p><p><b>A Shift in Perspective</b><br>Hewlett's insights have fundamentally reshaped my understanding of management fundamentals. Once you internalize the components of EP, you cannot unsee them. You start looking around your organization and noticing exactly why certain people succeed and command respect—they actively project presence. It completely changes how you view professional dynamics, meetings, and success in the workplace.</p><p><b>What's Next</b><br>This book is highly recommended for anyone looking to understand the unwritten rules of professional advancement. To continue building on these fundamentals and directly address my own growth areas, my next read will be [b: Gravitas|18685594|Gravitas  Communicate with Confidence, Influence and Authority|Caroline Goyder|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408935677l/18685594._SX50_.jpg|26527196] to dive even deeper into cultivating that specific, assertive command.</p>"
31579916,Fierce Conversations: Achieving Success at Work and in Life One Conversation at a Time,Susan Scott,,,,3,New American Library,2026/03/29,2026/02/02,"Overall, [b: Fierce Conversations: Achieving Success at Work and in Life One Conversation at a Time|31579916|Fierce Conversations  Achieving Success at Work and in Life One Conversation at a Time|Susan Scott|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1482092778l/31579916._SX50_.jpg|16957] by [a: Susan Scott|9375|Susan Scott|https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png] is a rewarding read with a potent central message, even if the delivery occasionally gets bogged down in its own details. The book offers a wealth of actionable takeaways, and its core philosophy—that our lives succeed or fail one conversation at a time—deeply resonated with me.<br/><br/><b>What Worked Well</b><br/><b>The Power of Plain Speaking:</b> The book's emphasis on addressing the issue at hand directly and plainly is fantastic. It highlighted a communication style that I actively want to develop and hone further in both my personal and professional life.<br/><b>""Mineral Rights"" Conversations:</b> This was a standout concept. The metaphor of drilling down and digging deep past surface-level symptoms to reach the absolute core of a problem is incredibly practical and thought-provoking.<br/><b>Shattering the ""Truce"":</b> Scott makes a compelling case for how liberating it is to finally get past the polite, unspoken ""truces"" we make to avoid conflict. Confronting reality and having the difficult, necessary conversations feels less like a burden and more like a path to freedom.<br/><br/><b>The Critique</b><br/><b>Repetition and Verbosity:</b> While the core message is vital, the execution can be quite repetitive. The author often belabors the point, making the text feel unnecessarily wordy in places.<br/><b>Information Overload:</b> The book includes an abundance of examples, anecdotes, and side points. While likely intended to clarify, the sheer volume can make it difficult to coherently keep track of the main frameworks. A tighter, more concise edit would have made the primary concepts punchier and easier to reference.<br/><br/><b>The Verdict</b><br/><i>Fierce Conversations</i> is an insightful and empowering guide for anyone looking to communicate with more courage and clarity. Despite its tendency to be overly verbose, the core philosophy is liberating and genuinely useful. It is a solid read that provides excellent tools for dropping the mask and getting to the heart of any issue."
49040,Death by Meeting: A Leadership Fable… about Solving the Most Painful Problem in Business,Patrick Lencioni,,0787968056,9780787968052,5,Jossey-Bass,2026/01/01,2026/02/02,"<p><b>Another essential Lencioni fable</b></p><br/><p>Another excellent business fable by [a: Patrick Lencioni|11503|Patrick Lencioni|https://images.gr-assets.com/authors/1330247460p2/11503.jpg]. It had a lot of nuggets that were really useful to put into use immediately. An important learning from [b: Death by Meeting: A Leadership Fable...About Solving the Most Painful Problem in Business|18883595|Death by Meeting  A Leadership Fable...About Solving the Most Painful Problem in Business|Patrick Lencioni|https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393634357l/18883595._SY75_.jpg|47976] was the concept of <b>""Mining for Conflict.""</b></p><br/><p>Lencioni encourages the leader to seek out opposing opinions so that you can have a healthy discussion. The job of the leader is to listen to everything and then make a decision. I have already found that seeding strategic discussions early and encouraging this healthy debate is providing a lot of value. For this to work, the topics have to be ""big.""</p><br/><p><b>Key Takeaways:</b><br/><ul><br/><li><b>Don’t Mix Tactical and Strategic:</b> Keep these meetings separate. Mixing immediate ""firefighting"" with long-term planning dilutes the effectiveness of both.</li><br/><li><b>The Tactical Format:</b> The author suggests a round-table style where topics are put on the table in real-time. A variation I’m exploring is reading notes first and then having a tactical discussion.</li><br/></ul><br/></p><br/><blockquote>Good meetings are energizing, they get things done, and they get the team aligned.</blockquote><br/><p>I am still experimenting to find the perfect cadence for a project weekly meeting, but this book provides an excellent set of best practices to pull from. An excellent read for any leader looking to improve team productivity.</p>"
158474516,The Bhagavad Gita Reprint edition,Jack Hawley,,,,5,,2026/02/15,2026/02/15,"<b>Review: A Gentle, Narrative Bridge to Ancient Wisdom</b><br/><p><b>Summary</b><br/>After exploring other versions of the Gita, I turned to Jack Hawley’s ""walkthrough"" seeking a version that was simple, accessible, and easy to digest. This book delivers exactly that. Rather than a dense, academic translation, Hawley presents the Gita as a flowing narrative, weaving the profound wisdom of the dialogue between Krishna and Arjuna into a story that feels both timeless and immediate.</p><br/><p><b>Key Highlights</b><br/><b>• Accessibility:</b> This is an excellent ""gentle introduction."" It strips away the complexity often found in literal translations, making the ""mysterious"" parts of the Gita feel practical.<br/><b>• Structured Wisdom:</b> The book is exceptionally well-organized. It allows you to dive ""one level deeper"" into core concepts like the <b>Atma</b> (The Soul), <b>Karma Yoga</b> (The path of selfless action), and the <b>Three Gunas</b> (Sattva, Rajas, and Tamas).<br/><b>• Universal Appeal:</b> Despite the title, this isn't just for ""Westerners."" It is a valuable resource for anyone—regardless of background—who wants a clear entry point into Vedic philosophy.</p><br/><p><b>Personal Takeaway</b><br/>Reading this in quick succession with my previous study helped me internalize the Gita's lessons more deeply. For me, this book represents a vital ""stepping stone."" It provided the clarity I needed to feel confident as I continue to move toward even more advanced and nuanced explorations of this subject.</p>"
749937,The Three Signs of a Miserable Job: A Fable For Managers (and Their Employees),Patrick Lencioni,,0787995312,9780787995317,5,Jossey-Bass Inc Pub,2026/02/10,2026/02/02,"<b>Back to Fundamentals: A Review of The Three Signs of a Miserable Job</b><br/><br/>Patrick Lencioni’s The Three Signs of a Miserable Job strikes a particular chord in today’s fast-paced corporate environment. We often become so focused on execution that we forget the absolute fundamental truths of management regarding how we treat and motivate our teams.<br/>Lencioni identifies three specific factors that lead to dissatisfaction in the workplace, regardless of the industry or pay scale:<br/><br/>1. Anonymity<br/>This occurs when a manager sees an employee merely as a resource rather than a human being. It manifests as a lack of interest in their life, interests, and personal situation. People cannot be fulfilled in their work if they are not known and cared for as unique individuals by the person they report to.<br/>2. Irrelevance<br/>Irrelevance strikes when employees cannot see where they fit into the bigger picture. It is particularly common in roles that are not customer-facing, making it difficult for the individual to trace exactly how they add value. Everyone needs to know that their job matters to someone.<br/>3. Immeasurement (Lack of Measurement)<br/>Immeasurement is the inability of employees to assess their own contribution. Without an objective yardstick to gauge their progress and success, they are forced to rely on the subjective opinions of others, which drains motivation.<br/><br/>Personal Reflections on Management<br/>Lencioni emphasizes the need to ""know"" your people, but I believe the expression of care varies by personality. My own management style is to respect boundaries and avoid prying into personal lives unless the information is offered. Instead, I prioritize remembering and deeply caring about the context and details that are shared with me.<br/>Management is a fundamentally ethical role. A massive part of the job is simply caring about the overall well-being of the team.<br/>The section on Measurement provided immediate, actionable ideas. Although the concepts weren't necessarily revolutionary, they offered a practical framework for measuring ""hidden"" progress—areas I have wanted to track but struggled to quantify until now. I plan to implement these ideas immediately to help the team see their wins more clearly.<br/><br/>This book serves as a crucial reminder. In the rush of deadlines and deliverables, we often forget the core tenet of management: People deliver projects. If you take care of the people, everything else will follow."
239859634,Bhagavad Gita - Complete Edition: A Modern English Translation for Today’s World,Atman Press,,,,5,,2026/01/05,2026/01/05,"Heading into 2026, I felt ready to finally approach the Bhagavad Gita. I wasn't looking for a dense academic study; I wanted a translation that was accessible enough for me to grasp the core principles.<br/>This edition by Atman Press delivers exactly that.<br/>The translation is refreshingly simple. It presents the text in an explainable format that breaks down deep concepts into plain English, making it perfect for a beginner.<br/>Since this is my first read of the Gita, I can’t speak to how strictly this version adheres to the nuances of the original Sanskrit. However, it gave me exactly what I needed: clarity on how to approach my activities and responsibilities for the year ahead.<br/>Final Verdict: An excellent book for anyone looking to get introduced to the Gita without feeling intimidated. It has prepared me to explore more traditional translations in the future, but I know I will return to this version again and again for its simplicity."
177749774,Lonely Planet Singapore (Travel Guide) 2023: Plan the perfect family vacation with exciting activities and attractions for all ages in Singapore.,Robert Rodríguez,,,9798398220759,4,Independently published,2025/12/31,2025/12/31,
235662231,Crafting Engineering Strategy: How Thoughtful Decisions Solve Complex Problems,Will Larson,,,9798341645523,5,O'Reilly Media,2025/12/27,2025/11/29,"<b>Introduction</b><br/>""Strategy"" is often an overloaded term in the tech industry—nebulous and difficult to pin down. In Crafting Engineering Strategy, Will Larson cuts through the noise to provide perhaps the best articulation of what engineering strategy actually is and how leaders should thoughtfully create one for their organizations.<br/>Larson speaks from direct experience, guiding the reader through the entire lifecycle of strategy—from the initial diagnosis to articulation and, finally, implementation. For those who enjoyed Larson's previous work on management, An Elegant Puzzle, this book serves as a slice of wisdom extending from that foundation. It is, without a doubt, a must-read for any engineering leader.<br/><b>Context and Prerequisites</b><br/>To fully absorb the wisdom in this book, I highly recommend reading Richard Rumelt’s Good Strategy, Bad Strategy and The Crux as prerequisites. Larson effectively expands Rumelt’s ""strategy kernel"" into a fully operational bible for engineering leaders.<br/>Ideally, one might read Larson and Rumelt in parallel to compare and contrast insights. While Rumelt provides the theoretical foundation, Larson provides the engineering-specific application.<br/><b>The Framework: From Diagnosis to Operations</b><br/>Larson demystifies the process by breaking strategy down into actionable phases. He argues that strategy is, at its core, problem-solving. The book lays out a clear path:<br/>1. Exploring: Finding options and thoroughly understanding the landscape.<br/>2. Diagnosing: Identifying the specific challenge you are trying to solve. This is the critical first step.<br/>3. Refining: This is a crucial step that extends Rumelt’s work. Larson emphasizes iteratively testing and building conviction in your strategy. It encourages a ""fail fast"" mentality so you can arrive at the right strategy before committing significant resources.<br/>4. Setting Policy: Establishing coherent actions to achieve the goal.<br/>5. Operations: The tactical ways to implement the policy on the ground.<br/><b>Tools and Mental Models</b><br/>One of the gems of this book is its practical toolkit. Larson introduces a template to succinctly express strategy, which is invaluable for clarity. He also introduces Wardley Maps, a concept I intend to deep dive into further.<br/>Furthermore, Larson champions systems thinking. He demonstrates how modeling systems is key to confirming your diagnosis and strategy. He even details a simple tool he wrote that readers can leverage to express and model the systems they are analyzing.<br/><b>Communication and Execution</b><br/>A strategy is only as good as its execution, and execution depends on communication. Larson shines here, addressing the reality that communicating strategy is key to its success, especially as an organization scales.<br/><b>Conclusion</b><br/>Through numerous real-world examples drawn from his own career, Larson ties everything together, providing the reader with written strategy examples that serve as a blueprint. Simply put, he doesn't just tell you what strategy is; he demonstrates what good strategy looks like in practice, shares the real-world outcomes, and ultimately prepares you to craft your own.<br/>I anticipate coming back to this book again and again. Crafting Engineering Strategy transforms a complex, often abstract concept into a concrete operational guide. If you are looking to move beyond buzzwords and truly understand strategy as a method of high-level problem solving, this book is essential reading."
